#То что подпадалось в подготовке к Einbürgerungstest 
#separator:Semicolon
#html:true
#tags:flashcardbot
#notetype:German:Bot
#columns:Front;Back;Example;ExampleTranslation;FrontNoSeparator;Notes;Synonym;Context;ContextTranslation;
betreten;входить;Bitte <b>betreten</b> Sie den Raum.<br />Er hat das Geschäft ohne zu <b>betreten</b> verlassen.;Пожалуйста, <b>войдите</b> в комнату.<br />Он вышел из магазина, не <b>войдя</b> в него.;;;;;
das Gesetz;закон;Das <b>Gesetz</b> tritt nächste Woche in Kraft.<br />Wir müssen das <b>Gesetz</b> beachten.;Этот <b>закон</b> вступает в силу на следующей неделе.<br />Мы должны соблюдать этот <b>закон</b>.;;;;;
das Gericht;суд;Die Entscheidung des <b>Gerichts</b> war überraschend.<br />Vor dem <b>Gericht</b> stehen viele Zeugen.;Решение <b>суда</b> было неожиданным.<br />Перед <b>судом</b> стоят многие свидетели.;;;;;
die Verfassung;конституция;Die <b>Verfassung</b> garantiert die Grundrechte der Bürger.<br />Die <b>Verfassung</b> wurde nach dem Krieg geändert.;Конституция гарантирует основные права граждан.<br />Конституция была изменена после войны.;;;;;
die Regierung;правительство;Die <b>Regierung</b> hat das neue Gesetz verabschiedet.<br />Die <b>Regierung</b> arbeitet an Reformen.;Правительство приняло новый закон.<br />Правительство работает над реформами.;;;;;
die Freizügigkeit;свобода передвижения;Die <b>Freizügigkeit</b> in der EU ermöglicht es den Bürgern, in jedem anderen Mitgliedstaat zu leben und zu arbeiten.<br />Die <b>Freizügigkeit</b> wird oft als Grundrecht betrachtet.;Свобода передвижения в ЕС позволяет гражданам жить и работать в любом другом государстве-члене.<br />Свобода передвижения часто рассматривается как основное право.;;;;;
die Gewalt;насилие;Die <b>Gewalt</b> in der Gesellschaft nimmt zu.<br />Er war ein Opfer von <b>Gewalt</b> in seiner Kindheit.;Насилие в обществе возрастает.<br />Он был жертвой насилия в детстве.;;;;;
staatlich;государственный;Die <b>staatliche</b> Unterstützung ist wichtig.<br />Wir müssen die <b>staatlichen</b> Regeln befolgen.;Государственная <b>поддержка</b> важна.<br />Мы должны соблюдать <b>государственные</b> правила.;;;;;
ein·schränken;ограничивать;Wir müssen unsere Ausgaben <b>einschränken</b>.<br />Die Freiheit sollte nicht <b>eingeschränkt</b> werden.;Мы должны <b>ограничить</b> наши расходы.<br />Свобода не должна быть <b>ограничена</b>.;einschränken;;;;
die Menschenwürde;достоинство человека;Alle Menschen haben das Recht auf <b>Menschenwürde</b>.<br />Die <b>Menschenwürde</b> muss in allen Lebensbereichen respektiert werden.;Все люди имеют право на <b>достоинство человека</b>.<br /><b>Достоинство человека</b> должно уважаться во всех сферах жизни.;;;;;
der Adler;орел;Der <b>Adler</b> fliegt hoch am Himmel.<br />Ich habe ein Bild von einem <b>Adler</b> gesehen.;О <b>орле</b> высоко в небе летает.<br />Я видел картину с <b>орлом</b>.;;;;;
