#Слова со звездочкой (для экзамена) с занятий с Дашей, которые она будет проверять
#separator:Semicolon
#html:true
#tags:daria даша
#notetype:German
#columns:Front;Back;Example;ExampleTranslation;Notes;Synonym;Context;ContextTranslation
weshalb;зачем;<i>Ich verstehe nicht, <b>weshalb</b> er das getan hat.</i>;<i>Я не понимаю, <b>зачем</b> он это сделал.</i>;;;
wertvoll;ценный;<i>Das Museum stellt viele <b>wertvolle</b> Gemälde aus.</i>;<i>Музей выставляет много <b>ценных</b> картин.</i>;;;
eigentlich;наконец, на самом деле;<i>Was wolltest du <b>eigentlich</b> sagen?</i>;<i>Что ты <b>вообще-то</b> хотел сказать?</i>;;;
klappen;получаться;<i>Ich hoffe, dass alles <b>klappt</b>.</i>;<i>Я надеюсь, что все <b>получится</b>.</i>;;;
anstrengend;утомительный, напряженный;<i>Der Job ist sehr <b>anstrengend</b>.</i>;<i>Эта работа очень <b>утомительная</b>.</i>;;;
innerhalb;внутри(пространство), в течение (времени);<i>Sie müssen <b>innerhalb</b> von 10 Minuten hier sein.<br />Das Schloss liegt <b>innerhalb</b> der Stadtmauern.</i>;<i>Вы должны быть здесь <b>в течение</b> 10 минут.</i><br />Замок находится <b>внутри</b> городских стен.;;drinnen;
die Ablehnung;отказ;<i>Ich habe eine <b>Ablehnung</b> für meinen Antrag bekommen.</i>;<i>Я получил <b>отказ</b> на мою заявку.</i>;;;
die Herstellung;производство;<i><b>Die Herstellung</b> von Autos ist sehr komplex.</i>;<i><b>Производство</b> автомобилей очень сложное.</i>;;;
herstellen;производить;<i>Dieses Unternehmen kann Tische und Stühle <b>herstellen</b>.</i>;<i>Эта компания может <b>производить</b> столы и стулья.</i>;;;
schaffen;создавать;<i>Ich <b>schaffe</b> es, die Arbeit bis Freitag zu beenden.</i>;<i>Я <b>справлюсь</b> с работой до пятницы.</i>;;;
das Gerät;прибор;<i>Mein neues <b>Gerät</b> funktioniert sehr gut.</i>;<i>Мой новый <b>прибор</b> работает очень хорошо.</i>;;;
der Schluss;окончание;<i>Ich bin müde, machen wir <b>Schluss</b>.</i>;<i>Я устал, давайте <b>заканчивать</b>.</i>;;;
Schluss machen;заканчивать;<i>Ich habe <b>mit ihm Schluss gemacht</b>.</i>;<i>Я <b>с ним рассталась</b>.</i>;beenden;;
entwickeln;развивать, разрабатывать;<i>Das Unternehmen möchte neue Produkte <b>entwickeln</b>.</i>;<i>Компания хочет <b>разрабатывать</b> новые продукты.</i>;;;
echt;реально, правдиво;<i>Das ist <b>echt</b> eine gute Idee!</i>;<i>Это <b>действительно</b> хорошая идея!</i>;;;

verbringen;проводить (время);<i>Wir <b>verbringen</b> den Urlaub in den Bergen.</i>;<i>Мы <b>проводим</b> отпуск в горах.</i>;;;
