#Фразы для, в основном, диалога и письма при подготовки к TELC B1
#separator:Semicolon
#html:true
#tags:daria redelmittel
#notetype:German:Expression
#columns:Front;Back;Example;ExampleTranslation;Notes;Context;ContextTranslation
Liebe [<i>Name</i>], <br />vielen Dank für deine E-mail. Ich habe mich sehr darüber gefreut.;Дорогая [<i>Name</i>], <br />большое спасибо за твое электронное письмо. Я был очень рад ему.;;;;E-Mail-Anfang (informell);Начало электронного письма (неформально);
Liebe Herr [<i>Name</i>], <br />wie schön, dass Sie mir schreiben!;Уважаемый господин [<i>Name</i>], <br />как замечательно, что Вы мне пишете!;;;;E-Mail-Anfang (formell);Начало электронного письма (формально);
Toll, dass ... [<i>Verb</i>];Здорово, что ...;<b>Toll, dass</b> du auch kommst!<br /><b>Toll, dass</b> wir uns wiedersehen.<br /><b>Toll, dass</b> die Reise so gut geklappt hat.;<b>Здорово, что</b> ты тоже придешь!<br /><b>Здорово, что</b> мы снова увидимся.<br /><b>Здорово, что</b> поездка так хорошо прошла.;;Freude ausdrücken;Выражение радости;
Schade, dass ... [<i>Verb</i>];Жаль, что ...;<b>Schade, dass</b> du nicht dabei sein kannst.<br /><b>Schade, dass</b> wir uns verpasst haben.<br /><b>Schade, dass</b> das Wetter so schlecht ist.;<b>Жаль, что</b> ты не можешь быть с нами.<br /><b>Жаль, что</b> мы разминулись.<br /><b>Жаль, что</b> погода такая плохая.;;Bedauern ausdrücken;Выражение сожаления;
Das freut mich, weil ... [<i>Verb</i>];Это меня радует, потому что ...;<b>Das freut mich, weil</b> ich mich schon sehr darauf gefreut habe.<br /><b>Das freut mich, weil</b> wir uns lange nicht gesehen haben.<br /><b>Das freut mich, weil</b> es ein guter Grund zum Feiern ist.;<b>Это меня радует, потому что</b> я уже очень ждал этого.<br /><b>Это меня радует, потому что</b> мы давно не виделись.<br /><b>Это меня радует, потому что</b> это хороший повод для праздника.;;Freude begründen;Обоснование радости;
Bitte schreib mir bald zurück!;Пожалуйста, напиши мне скоро в ответ!;;;;E-Mail-Abschluss (informell);Завершение письма (неформально);
Ich warte auf deine/Ihre Antwort.;Я жду твоего/Вашего ответа.;;;;E-Mail-Abschluss;Завершение письма;
Schreiben Sie mir, wenn ... [<i>Verb</i>];Напишите мне, когда ...;<b>Schreiben Sie mir, wenn</b> Sie Zeit haben.<br /><b>Schreiben Sie mir, wenn</b> das Problem gelöst ist.<br /><b>Schreiben Sie mir, wenn</b> Sie Neuigkeiten haben.;<b>Напишите мне, когда</b> у Вас будет время.<br /><b>Напишите мне, когда</b> проблема будет решена.<br /><b>Напишите мне, когда</b> у Вас будут новости.;;Wunsch ausdrücken;Выражение желания;
Viele Grüße;С наилучшими пожеланиями;;;;E-Mail-Abschluss (informell);Завершение письма (неформально);
Ich bin in Murmansk geboren;Я родился в Мурманске.;;;;Über Herkunft sprechen;Рассказ о происхождении;
Als ich ein Kind war, [<i>Verb</i>];Когда я был ребенком, [<i>глагол</i>];<b>Als ich ein Kind war</b>, bin ich oft im Park spielen gegangen.<br /><b>Als ich ein Kind war</b>, habe ich gern Comics gelesen.<br /><b>Als ich ein Kind war</b>, sind wir oft an die Ostsee gefahren.;<b>Когда я был ребенком</b>, я часто ходил играть в парк.<br /><b>Когда я был ребенком</b>, я с удовольствием читал комиксы.<br /><b>Когда я был ребенком</b>, мы часто ездили на Балтийское море.;;Über die Vergangenheit sprechen;Рассказ о прошлом;
Es ist schön, was du <b>von</b> + <i>Datt</i> + schriebst.;Здорово, что ты написал <b>о</b> <i>Datt</i>.;<b>Es ist schön, was du von</b> deiner Familie und dem Geburtstagsfest schriebst.<br /><b>Es ist schön, was du von</b> deiner Familie und dem Geburtstagsfest gesagt hast;<b>Здорово, что ты</b> написал о своей семье и празднике дня рождения.<br/><b>Здорово, что ты</b> рассказал о своей семье и празднике дня рождения.;;Freude ausdrücken;Выражение радости;
In diesem Text geht es um .../um das Thema;В этом тексте речь идет о.../о теме;<b>In diesem Text geht es um</b> die Zukunft der Arbeit.<br /><b>In diesem Text geht es um das Thema</b> "Umweltschutz".<br /><b>In diesem Text geht es um</b> die Vorteile des Home-Office.;<b>В этом тексте речь идет о</b> будущем работы.<br /><b>В этом тексте речь идет о теме</b> "Защита окружающей среды".<br /><b>В этом тексте речь идет о</b> преимуществах работы на дому.;;Themenbesprechung (Anfang);обсуждение темы (начало);
Der Text handelt <b>von</b> + <i>Dat</i>;Текст повествует о...;<b>Der Text handelt von</b> der Geschichte der deutschen Sprache.<br /><b>Der Text handelt von</b> den Problemen der modernen Gesellschaft.<br /><b>Der Text handelt von</b> den Herausforderungen der Digitalisierung.;<b>Текст повествует о</b> истории немецкого языка.<br /><b>Текст повествует о</b> проблемах современного общества.<br /><b>Текст повествует о</b> вызовах цифровизации.;;Themenbesprechung (Anfang);обсуждение темы (начало);
Meiner Meinung nach [<i>Verb</i>];По моему мнению...;<b>Meiner Meinung nach</b> ist das normal und es sollte so sein.<br /><b>Meiner Meinung nach</b> sollten wir mehr Geld in Bildung investieren.<br /><b>Meiner Meinung nach</b> ist dieser Vorschlag die beste Lösung.;<b>По моему мнению</b>, это нормально, и так и должно быть.<br /><b>По моему мнению</b>, мы должны больше инвестировать в образование.<br /><b>По моему мнению</b>, это предложение - лучшее решение.;;Meinung äußern;выражение мнения;
Ich habe ähnliche Erfahrungen gemacht, als ... [<i>Verb</i>];У меня был похожий опыт, когда...;<b>Ich habe ähnliche Erfahrungen gemacht, als</b> ich in den USA studiert habe.<br /><b>Ich habe ähnliche Erfahrungen gemacht, als</b> ich meine erste Präsentation gehalten habe.<br /><b>Ich habe ähnliche Erfahrungen gemacht, als</b> ich den Job gewechselt habe.;<b>У меня был похожий опыт, когда</b> я учился в США.<br /><b>У меня был похожий опыт, когда</b> я делал свою первую презентацию.<br /><b>У меня был похожий опыт, когда</b> я менял работу.;;Zustimmung ausdrücken;выражение согласия;
Dazu habe ich eine andere Meinung/Ansicht.;У меня другое мнение/точка зрения по этому поводу.;<b>Dazu habe ich eine andere Meinung</b>. Die Kosten sind viel zu hoch.<br /><b>Dazu habe ich eine andere Ansicht</b>. Wir sollten es nicht so machen.<br /><b>Dazu habe ich eine andere Meinung</b>. Es gibt bessere Alternativen.;<b>У меня другое мнение по этому поводу</b>. Расходы слишком высоки.<br /><b>У меня другая точка зрения по этому поводу</b>. Нам не следует так делать.<br /><b>У меня другое мнение по этому поводу</b>. Есть лучшие альтернативы.;;Widerspruch ausdrücken;выражение несогласия;
Das ist eine tolle Idee.;Это отличная идея.;A: Wir könnten am Samstag ins Kino gehen. B: <b>Das ist eine tolle Idee</b>!<br />A: Ich schlage vor, wir treffen uns um 18 Uhr. B: <b>Das ist eine tolle Idee</b>!<br />A: Lass uns ein Picknick machen. B: <b>Das ist eine tolle Idee</b>!.;A: Мы могли бы сходить в кино в субботу. B: <b>Это отличная идея</b>!<br />A: Я предлагаю встретиться в 18 часов. B: <b>Это отличная идея</b>!<br />A: Давай устроим пикник. B: <b>Это отличная идея</b>!.;;Zustimmung (Plan);согласие (план);
Das klingt gut.;Звучит хорошо.;A: Ich möchte vorschlagen, dass wir das Projekt gemeinsam machen. B: Ja, <b>das klingt gut</b>.<br />A: Wir könnten ein Treffen für nächsten Montag arrangieren. B: Ja, <b>das klingt gut</b>.<br />A: Was hältst du von einem gemeinsamen Essen? B: <b>Das klingt gut</b>!.;A: Я хочу предложить, чтобы мы сделали проект вместе. B: Да, <b>звучит хорошо</b>.<br />A: Мы могли бы устроить встречу на следующий понедельник. B: Да, <b>звучит хорошо</b>.<br />A: Что думаешь насчет совместного ужина? B: <b>Звучит хорошо</b>!.;;Zustimmung (Plan);согласие (план);
Das finde ich nicht so gut, denn/weil ...;Я считаю, что это не очень хорошо.;A: Sollen wir das Projekt verschieben? B: <b>Das finde ich nicht so gut</b>, denn die Deadline ist bald.<br />A: Wir sollten die Aufgabe allein machen. B: <b>Das finde ich nicht so gut</b>, weil Teamarbeit besser ist.<br />A: Wir könnten dieses Jahr unsere Pläne ändern. B: <b>Das finde ich nicht so gut</b>, ich habe schon alles geplant.;A: Стоит ли нам перенести проект? B: <b>Я не думаю, что это так хорошо</b>, потому что срок сдачи скоро.<br />A: Мы должны выполнять задание в одиночку. B: <b>Я не думаю, что это так хорошо</b>, потому что командная работа лучше.<br />A: Мы могли бы изменить наши планы в этом году. B: <b>Я не думаю, что это так хорошо</b>, я уже все распланировал.;;Ablehnung (Plan);несогласие (план);
Dann sehen wir uns ... (am Samstag);Тогда увидимся... (в субботу);<b>Dann sehen wir uns</b> am Samstag!<br /><b>Dann sehen wir uns</b> nächsten Monat.<br /><b>Dann sehen wir uns</b> in einer Woche.;<b>Тогда увидимся</b> в субботу!<br /><b>Тогда увидимся</b> в следующем месяце.<br /><b>Тогда увидимся</b> через неделю.;;Abschluss (Plan);завершение (план);
Ich freue mich darauf!;Я с нетерпением этого жду!;A: Wir treffen uns am Sonntag. B: Ja, <b>ich freue mich darauf</b>!<br />A: Nächstes Jahr fahren wir nach Berlin. B: <b>Ich freue mich darauf</b>!<br />A: Unsere Reise beginnt bald. B: <b>Ich freue mich darauf</b>!.;A: Мы встретимся в воскресенье. B: Да, <b>я с нетерпением этого жду</b>!<br />A: В следующем году мы поедем в Берлин. B: <b>Я с нетерпением этого жду</b>!<br />A: Наше путешествие скоро начнется. B: <b>Я с нетерпением этого жду</b>!.;;Abschluss (Plan);завершение (план);
Lass uns entscheiden, ob wir ... [<i>Verb</i>] oder ... [<i>Verb</i>];Давай решим;<b>Lass uns entscheiden, ob wir</b> ins Kino gehen oder zu Hause bleiben.;<b>Давай решим</b>, пойдем ли мы в кино или останемся дома.;;Vorschlag;Предложение;
Lass uns besprechen, wenn wir ... [<i>Verb</i>];Давай обсудим, когда мы ...;<b>Lass uns besprechen, wenn wir</b> eine Party vorbereiten.<br /><b>Lass uns besprechen, wenn wir</b> uns treffen.;<b>Давай обсудим, когда мы</b> будем готовить вечеринку.<br /><b>Давай обсудим, когда мы</b> встретимся.;решим окончательно;Vorschlag;Предложение;
Sag/Schreib mir Bescheid, wann du kommst;Сообщи, когда придешь;Du bist schon unterwegs? <b>Sag mir Bescheid, wann du ankommst</b>.;Ты уже в пути? <b>Сообщи мне, когда приедешь</b>.;;;;
