#Слова, которые встречаются при выполнении домашек, про которые Даша не знает
#separator:Semicolon
#html:true
#tags:hometask random домашка рандом
#notetype:German
#columns:Front;Back;Example;ExampleTranslation;Notes
das Lachen;смех;<i>Ihr <b>Lachen</b> ist ansteckend.</i>;<i>Ее <b>смех</b> заразителен.</i>;;
vermuten;предполагать;<i>Ich <b>vermutete</b>, dass der Mann im Anzug der Manager war.</i>;<i>Я <b>предположил</b>, что мужчина в костюме был менеджером.</i>;;
das Blut;кровь;<i>Das Herz pumpt <b>Blut</b> durch den Körper.</i>;<i>Сердце качает <b>кровь</b> по телу.</i>;;
die Volksweisheiten;народная мудрость;<i><b>Volksweisheiten</b> werden von Generation zu Generation weitergegeben.</i>;<i><b>Народная мудрость</b> передается из поколения в поколение.</i>;;
längst;длинный;<i>Er ist <b>längst</b> zu Hause.</i>;<i>Он <b>уже давно</b> дома.</i>;;
der Beweis;доказательство, улика;<i>Die Fingerabdrücke waren ein eindeutiger <b>Beweis</b>.</i>;<i>Отпечатки пальцев были явным <b>доказательством</b>.</i>;;
wissenschaftlich;научный;<i>Dieses <b>wissenschaftliche</b> Journal hat einen sehr guten Ruf.</i>;<i>Этот <b>научный</b> журнал имеет очень хорошую репутацию.</i>;;
das Fachgebiet;специальность;<i>Der Professor ist ein Experte im <b>Fachgebiet</b> Literatur.</i>;<i>Профессор является экспертом в <b>области</b> литературы.</i>;;
die (Aus)Wirkung;эффект, влияние;<i>Die neuen Strategien hatten eine große <b>Auswirkung</b> auf die Wirtschaft.</i><br /><i>Leise Musik hat oft eine beruhigende <b>Wirkung</b>.</i>;<i>Новые стратегии оказали большое <b>влияние</b> на экономику.</i><br /><i>Тихая музыка часто оказывает успокаивающий <b>эффект</b>.</i>;;
der Körper;тело;<i>Das Herz pumpt Blut durch <b>den Körper</b>.</i>;<i>Сердце качает кровь по <b>телу</b>.</i>;;
die Anzahl;число;<i>Die Vorauswahl reduzierte <b>die Anzahl</b> der Kandidaten auf drei.</i>;<i>Предварительный отбор сократил <b>число</b> кандидатов до трех.</i>;;
gehören;принадлежать, относиться;<i>Die Herde <b>gehört</b> dem Bauern.</i>;<i>Стадо <b>принадлежит</b> фермеру.</i>;;
sogenannt;так называемый;<i>Es herrschte oft kaltes Wetter im diesjährigen <b>sogenannten</b> Sommer.</i>;<i>В этом году в <b>так называемое</b> лето часто была холодная погода.</i>;;
die Menge;количество;<i>Die Medizin ist harmlos in kleinen <b>Mengen</b>.</i>;<i>Лекарство безвредно в небольших <b>количествах</b>.</i>;;
schädlich;вредный, вредоносный;<i>Unsere Produkte enthalten keine <b>schädlichen</b> Substanzen.</i>;<i>Наши продукты не содержат <b>вредных</b> веществ.</i>;;
gering;низкий, маленький, плохой (poor);<i>Die Risiken sind nicht hoch, sie sind sehr <b>gering</b>.</i>;<i>Риски невысоки, они очень <b>малы</b>.</i>;;
die Träne;слеза;<i><b>Tränen</b> strömten aus ihren Augen, während sie sich umarmten.</i>;<i><b>Слезы</b> текли из ее глаз, пока они обнимались.</i>;;
der Schutz;защита, щит;<i>Ein Dach bietet <b>Schutz</b> vor Regen.</i>;<i>Крыша обеспечивает <b>защиту</b> от дождя.</i>;;
die Bewegung;движение;<i>Ihre <b>Bewegungen</b> waren anmutig und elegant.</i>;<i>Ее <b>движения</b> были грациозными и элегантными.</i>;;
das Abnehmen;похудение;<i><b>Abnehmen</b> ist ein langer Prozess.</i>;<i><b>Похудение</b> – это долгий процесс.</i>;;
der Durchschnitt;в среднем;<i><b>Im Durchschnitt</b> dauert die Lieferung zwei Wochen, manchmal mehr, manchmal weniger.</i>;<i><b>В среднем</b> доставка занимает две недели, иногда больше, иногда меньше.</i>;;
erfrischen;освежать;<i>Sie trug eine Gesichtsmaske auf, um ihre Haut zu <b>erfrischen</b>.</i>;<i>Она нанесла маску для лица, чтобы <b>освежить</b> свою кожу.</i>;;
nutzen;использовать;<i>Er <b>nutzt</b> sein Wissen für die Arbeit.</i>;<i>Он <b>использует</b> свои знания для работы.</i>;;
heftig;интенсивный, сильный;<i>Zum Glück hat der <b>heftige</b> Sturm keine Schäden verursacht.</i>;<i>К счастью, <b>сильный</b> шторм не причинил ущерба.</i>;;
anfänglich;начальный;<i>Nach <b>anfänglichen</b> Schwierigkeiten war das Projekt ein großer Erfolg.</i>;<i>После <b>начальных</b> трудностей проект имел большой успех.</i>;;
die Ebene;уровень;<i>Der Bahnsteig ist auf einer anderen <b>Ebene</b> des Bahnhofs.</i>;<i>Платформа находится на другом <b>уровне</b> вокзала.</i>;;
die Übung;упражнение;<i>Das ist eine gute <b>Übung</b> für die Beinmuskeln.</i>;<i>Это хорошее <b>упражнение</b> для мышц ног.</i>;;
der Atem;дыхание;<i>Es ist so kalt, dass ich meinen eigenen <b>Atem</b> sehen kann.</i>;<i>Так холодно, что я могу видеть свое собственное <b>дыхание</b>.</i>;;
anregen;стимулировать;<i>Stickstoff im Boden <b>regt</b> das Pflanzenwachstum <b>an</b>.</i>;<i>Азот в почве <b>стимулирует</b> рост растений.</i>;;
