#Союзы
#separator:Semicolon
#html:true
#tags:conjunction союз
#notetype:German
#columns:Front;Back;Example;ExampleTranslation;Notes;Synonym;Context;ContextTranslation
und;и, а;Peter liest ein Buch <b>und</b> Anna hört Musik.;Петер читает книгу <b>и</b> Анна слушает музыку.;сочинительный<br />не влияет на порядок слов;;
aber;но, однако;Ich wollte gerade die Nachrichten hören, <b>aber</b> das Telefon klingelte.;Я как раз хотел послушать новости, <b>но</b> зазвонил телефон.;сочинительный<br />не влияет на порядок слов;;
denn;так как, потому что;Ich bleibe heute zu Hause, <b>denn</b> ich bin müde.;Я останусь сегодня дома, <b>потому что</b> я устал.;сочинительный<br />не влияет на порядок слов;;
oder;или, либо;Wir können ins Kino gehen <b>oder</b> wir bleiben zu Hause.;Мы можем пойти в кино <b>или</b> остаться дома.;сочинительный<br />не влияет на порядок слов;;
sondern;но, а;Sie fährt nicht mit dem Bus, sondern mit dem Fahrrad.;Она едет не на автобусе, <b>а</b> на велосипеде.;сочинительный<br />не влияет на порядок слов, стоит после предложения с отрицанием;;
sowie;а также, как и;Die Studenten lernen neue Vokabeln, <b>sowie</b> sie üben die Grammatik.;Студенты учат новые слова, <b>а также</b> они тренируют грамматику.;сочинительный<br />не влияет на порядок слов;;
deshalb;потому;Sie war krank, <b>deshalb</b> konnte sie nicht zur Arbeit kommen.;Она была больна, <b>поэтому</b> не смогла прийти на работу.;сочинительный<br />влияет на порядок слов;;
deswegen;по этой причине;Ich hatte viel zu tun, <b>deswegen</b> bin ich erst spät ins Bett gegangen.;У меня было много дел, <b>по этой причине</b> я лег спать поздно.;сочинительный<br />влияет на порядок слов;;
darum;поэтому;Er hatte keine Fahrkarte, <b>darum</b> musste er Strafe zahlen.;У него не было билета, <b>поэтому</b> ему пришлось заплатить штраф.;сочинительный<br />влияет на порядок слов;;
außerdem;кроме того;Ich habe Kopfschmerzen, <b>außerdem</b> bin ich sehr müde.;У меня болит голова, <b>кроме того</b>, я очень устал.;сочинительный<br />влияет на порядок слов;;
trotzdem;несмотря на это;Es hat geregnet, <b>trotzdem</b> sind wir spazieren gegangen.;Шел дождь, <b>несмотря на это</b>, мы пошли гулять.;сочинительный<br />влияет на порядок слов;dennoch;
zwar;правда, хотя;<b>Zwar</b> hat er viel Geld, aber er ist nicht glücklich.<br />Er hat <b>zwar</b> viel Geld, aber er ist nicht glücklich.;<b>Правда</b>, у него много денег, но он не счастлив.<br />У него, <b>правда</b>, много денег, но он не счастлив.;сочинительный<br />влияет на порядок слов;;
doch;однако, все же;Er war sehr müde, <b>doch</b> er arbeitete bis spät in die Nacht.;Он был очень уставшим, <b>однако</b> работал до поздней ночи.;сочинительный<br />допускает колебание;;
jedoch;однако, тем не менее;Die Wohnung war klein, <b>jedoch</b> sehr gemütlich.;Квартира была маленькой, <b>однако</b> очень уютной.;сочинительный<br />допускает колебание;;
also;итак, так что, стало быть;Es ist schon spät, <b>also</b> sollten wir jetzt gehen.;Уже поздно, <b>так что</b> нам следует идти.;сочинительный<br />допускает колебание;;

als;чем, как, когда, в то время как;Als ich ein Kind war, spielte ich oft im Garten.<br />Ich ging oft ins Museum, <b>als</b> ich in Berlin wohnte.;<b>Когда</b> я был ребенком, я часто играл в саду.<br />Я часто ходил в музей, <b>когда</b> я жил в Берлине.;подчинительный<br />в части с союзом перенос спрягаемого глагола на последнее место;;
