#Средства выражения
#separator:Semicolon
#html:true
#tags:daria redelmittel
#notetype:German:Expression
#columns:Front;Back;Context;ContextTranslation;Example;ExampleTranslation
Ich stehe auf dem Standpunkt, dass ... [<i>Verb</i>];Я считаю, что ...;Meinungen ausdrücken;Выражение мнения;<b>Ich stehe auf dem Standpunkt, dass</b> die Regierung mehr für Bildung tun sollte.<br /><b>Ich stehe auf demStandpunkt, dass</b> wir die Umwelt besser schützen müssen.<br /><b>Ich stehe auf dem Standpunkt, dass</b> Teamarbeit entscheidend ist.;<b>Я считаю, что</b> правительство должно делать больше для образования.<br /><b>Я считаю, что</b> мы должны лучше защищать окружающую среду.<br /><b>Я считаю, что</b> командная работа имеет решающее значение.;
Ich bin da geteilter Mainung: einerseits [<i>Verb</i>] ..., andererseits [<i>Verb</i>] ...;У меня два мнения: с одной стороны ..., с другой стороны ...;Meinungen ausdrücken;Выражение мнения;Ich bin da geteilter Meinung: Auf der einen Seite</b> ist der Preis gut<b>, auf der anderen Seite</b> ist die Qualität nicht sehr hoch.<br /><b>Ich bin dageteilter Meinung: Auf der einen Seite</b> finde ich die Idee gut<b>, auf der anderen Seite</b> habe ich Bedenken wegen der Umsetzung.<br /><b>Ich bin da geteilter Meinung: Auf der einen Seite</b> bietet es neue Chancen<b>, auf der anderen Seite</b> birgt es auch Risiken.;<b>У меня два мнения: с одной стороны</b> цена хорошая<b>, с другой стороны</b> качество не очень высокое.<br /><b>У меня два мнения: с одной стороны</b> я нахожу идею хорошей<b>, с другой стороны</b> у меня есть опасения по поводу реализации.<br /><b>У меня два мнения: с одной стороны</b> это предлагает новые возможности, с другой стороны</b> это также таит в себе риски.;
Das stimmt.;Все верно.;Zustimmung ausdrücken;Выражение согласия;A: Wir müssen das Projekt bis Montag fertigstellen. B: <b>Das stimmt</b>.<br />A: Die Qualität dieses Produkts ist sehr hoch. B: <b>Das stimmt</b>.<br />A: Heute ist es sehr kalt. B: <b>Das stimmt</b>, ich friere.;A: Мы должны завершить проект к понедельнику. B: <b>Все верно</b>.<br />A: Качество этого продукта очень высокое. B: <b>Все верно</b>.<br />A: Сегодня очень холодно. B: <b>Все верно</b>, я мерзну.;
Das ist ach meine Meinung, da ... [<i>Verb</i>];Это и мое мнение тоже, потому что ...;Zustimmung ausdrücken;Выражение согласия;<b>Das ist auch meine Meinung, da</b> wir so Zeit sparen können.<br /><b>Das ist auch meine Meinung, da</b> die Fakten das bestätigen.<br /><b>Das ist auch meine Meinung, da</b> ich die gleichen Erfahrungen gemacht habe.;<b>Это и мое мнение тоже, потому что</b> так мы можем сэкономить время.<br /><b>Это и мое мнение тоже, потому что</b> факты это подтверждают.<br /><b>Это и мое мнение тоже, потому что</b> у меня был такой же опыт.;
... finde ich gut, aber ...;... нахожу я хорошим, но ...;Widerspruch/Ablehnung ausdrücken;Выражение несогласия/отказ;Die Idee <b>finde ich gut, aber</b> die Kosten sind zu hoch.<br />Die Vorschläge <b>finde ich gut, aber</b> wir sollten sie noch einmal überdenken.<br />Den Plan <b>finde ich gut, aber</b> er ist zu kompliziert.;Идею <b>я нахожу хорошей, но</b> расходы слишком высоки.<br />Предложения <b>я нахожу хорошими, но</b> нам следует еще раз их обдумать.<br />План <b>я нахожу хорошим, но</b> он слишком сложен.;
Ich sehe das etwas anders, denn ...;Я вижу это немного по другому, потому что ...;Widerspruch/Ablehnung ausdrücken;Выражение несогласия/отказ;<b>Ich sehe das etwas anders, denn</b> die Zahlen sprechen eine andere Sprache.<br /><b>Ich sehe das etwas anders, denn</b> es gibt noch andere Faktoren zu berücksichtigen.<br /><b>Ich sehe das etwas anders, denn</b> ich habe andere Erfahrungen gemacht.;<b>Я вижу это немного по другому, потому что</b> цифры говорят о другом.<br /><b>Я вижу это немного по другому, потому что</b> нужно учитывать и другие факторы.<br /><b>Я вижу это немного по другому, потому что</b> у меня был другой опыт.;
Wir können doch ... [<i>Verb</i>] / Man könnte doch ... [<i>Verb</i>];Мы могли бы ... / Можно было бы ...;Vorschläge machen;Предлагать;<b>Wir können doch</b> am Wochenende ins Kino gehen.<br /><b>Man könnte doch</b> einen neuen Plan erstellen.<br /><b>Man könnte doch</b> die Arbeitszeit flexibler gestalten.;<b>Мы могли бы</b> сходить в кино на выходных.<br /><b>Можно было бы</b> составить новый план.<br /><b>Можно было бы</b> сделать график работы более гибким.;
Wie finden Sie / findest du folgende Idee: ... ?;Что Вы думаете / ты думаешь о следующей идее: ... ?;Vorschläge machen;Предлагать;<b>Wie finden Sie folgende Idee</b>: Wir treffen uns am Montag?<br /><b>Wie findest du folgende Idee</b>: Wir gehen ins Museum?<br /><b>Wie finden Sie folgende Idee</b>: Wir arbeiten von zu Hause aus?;<b>Что Вы думаете о следующей идее</b>: Мы встретимся в понедельник?<br /><b>Что ты думаешь о следующей идее</b>: Мы пойдем в музей?<br /><b>Что Вы думаете о следующей идее</b>: Мы будем работать из дома?;
Lass uns doch lieber ... [<i>Verb</i>];Давайте скорее ...;Gegenvorschläge machen;Встречное предложение;A: Sollen wir ins Restaurant gehen? B: <b>Lass uns doch lieber</b> zu Hause essen.<br />A: Wollen wir ein neues Projekt starten? B: <b>Lass uns doch lieber</b> das alte Projekt abschließen.<br />A: Fahren wir mit dem Auto? B: <b>Lass uns doch lieber</b> den Zug nehmen.;A: Пойдем в ресторан? B: <b>Давайте скорее</b> поедим дома.<br />A: Хотим начать новый проект? B: <b>Давайте скорее</b> завершим старый проект.<br />A: Поедем на машине? B: <b>Давайте скорее</b> поедем на поезде.;
Keine schlechte Idee, aber wie wär's, wenn wir ... [<i>Verb</i>]?;Неплохая идея, но что если мы ... ?;Gegenvorschläge machen;Встречное предложение;A: Wir könnten ins Kino gehen. B: <b>Keine schlechte Idee, aber wie wär's, wenn wir</b> stattdessen ein Theaterstück besuchen?<br />A: Wir könnten ein neues Auto kaufen. B: <b>Keine schlechte Idee, aber wie wär's, wenn wir</b> das alte reparieren lassen?<br />A: Wir könnten in Berlin Urlaub machen. B: <b>Keine schlechte Idee, aber wie wär's, wenn wir</b> stattdessen nach Rom fliegen?;A: Мы могли бы сходить в кино. B: <b>Неплохая идея, но что если мы</b> вместо этого посетим спектакль?<br />A: Мы могли бы купить новую машину. B: <b>Неплохая идея, но что если мы</b> отремонтируем старую?<br />A: Мы могли бы отдохнуть в Берлине. B: <b>Неплохая идея, но что если мы</b> вместо этого полетим в Рим?;
